step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="7",initial_trust_in_influencers="7",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.763549806936487,8.06659019710387,6.818235457322405,0.4853317327948304,0.5799578244412645,0.006578268565683166,0.034111818681608244
1,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.7802508082245,8.070351241777809,6.789356981882551,0.4842315700806751,0.5820671527812464,0.006772427585146898,0.03333926451670956
2,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.7802508082245,8.073874486885227,6.77519674651133,0.4839154575376682,0.5820671527812464,0.00688895120780873,0.03233645345140913
3,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.7802508082245,8.077359494654576,6.771173453654016,0.4832993649100532,0.5820671527812464,0.006972633912747815,0.03213005645944122
4,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.79857354856316,8.077359494654576,6.767620363815821,0.4831350783300737,0.5867110454032699,0.006972633912747815,0.031753794198808964
5,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.79857354856316,8.077359494654576,6.759312312309821,0.4828591156168265,0.5867110454032699,0.006972633912747815,0.03128814473773855
6,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.79857354856316,8.080491331062062,6.759312312309821,0.4832686264668278,0.5867110454032699,0.006969287548693023,0.03128814473773855
7,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.79857354856316,8.08597440800661,6.759312312309821,0.4832481637508761,0.5867110454032699,0.007059166130094691,0.03128814473773855
8,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.79857354856316,8.089202912805122,6.759312312309821,0.4836990877296741,0.5867110454032699,0.007017498696253557,0.03128814473773855
9,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.79857354856316,8.089202912805122,6.759312312309821,0.4839354675030249,0.5867110454032699,0.007017498696253557,0.03128814473773855
10,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.79857354856316,8.089202912805122,6.759312312309821,0.48415820034948986,0.5867110454032699,0.007017498696253557,0.03128814473773855
11,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.814409196268429,8.090563679216846,6.759312312309821,0.4846670730650925,0.5862451927259746,0.006958046878607538,0.03128814473773855
12,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.814409196268429,8.090563679216846,6.759312312309821,0.4848675238891918,0.5862451927259746,0.006958046878607538,0.03128814473773855
13,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.814409196268429,8.090563679216846,6.759312312309821,0.4850571531187245,0.5862451927259746,0.006958046878607538,0.03128814473773855
14,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.814409196268429,8.093967292993364,6.759312312309821,0.48498584505060244,0.5862451927259746,0.006914492788799861,0.03128814473773855
15,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.814409196268429,8.097026859739731,6.759312312309821,0.4852437965622722,0.5862451927259746,0.00679827408110135,0.03128814473773855
16,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.8293055033549175,8.097026859739731,6.759312312309821,0.48559779127866975,0.5839499102793074,0.00679827408110135,0.03128814473773855
17,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.097026859739731,6.759312312309821,0.48578818168801396,0.5821526661891834,0.00679827408110135,0.03128814473773855
18,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.098625368822336,6.759312312309821,0.48601383320817687,0.5821526661891834,0.006741045345430099,0.03128814473773855
19,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.100062056144395,6.759312312309821,0.4862198013758423,0.5821526661891834,0.006662000687064445,0.03128814473773855
20,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.100062056144395,6.759312312309821,0.48632578019744044,0.5821526661891834,0.006662000687064445,0.03128814473773855
21,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.100062056144395,6.759312312309821,0.4864261986840359,0.5821526661891834,0.006662000687064445,0.03128814473773855
22,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.100062056144395,6.759312312309821,0.48652123635063893,0.5821526661891834,0.006662000687064445,0.03128814473773855
23,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4866511412643481,0.5821526661891834,0.006621816301589692,0.03128814473773855
24,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48673572492301737,0.5821526661891834,0.006621816301589692,0.03128814473773855
25,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48681540495275255,0.5821526661891834,0.006621816301589692,0.03128814473773855
26,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48689041788015813,0.5821526661891834,0.006621816301589692,0.03128814473773855
27,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48696099235744045,0.5821526661891834,0.006621816301589692,0.03128814473773855
28,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4870273492239105,0.5821526661891834,0.006621816301589692,0.03128814473773855
29,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48708970149298186,0.5821526661891834,0.006621816301589692,0.03128814473773855
30,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4871482543111872,0.5821526661891834,0.006621816301589692,0.03128814473773855
31,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48720320491963093,0.5821526661891834,0.006621816301589692,0.03128814473773855
32,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48725474263666113,0.5821526661891834,0.006621816301589692,0.03128814473773855
33,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48730304887225484,0.5821526661891834,0.006621816301589692,0.03128814473773855
34,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4873482971788425,0.5821526661891834,0.006621816301589692,0.03128814473773855
35,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48739065333936876,0.5821526661891834,0.006621816301589692,0.03128814473773855
