step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="7",initial_trust_in_influencers="7",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
36,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4874302754908375,0.5821526661891834,0.006621816301589692,0.03128814473773855
37,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4874673142800128,0.5821526661891834,0.006621816301589692,0.03128814473773855
38,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4875019130470919,0.5821526661891834,0.006621816301589692,0.03128814473773855
39,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4875342080327901,0.5821526661891834,0.006621816301589692,0.03128814473773855
40,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48756432860424703,0.5821526661891834,0.006621816301589692,0.03128814473773855
41,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48759239749536043,0.5821526661891834,0.006621816301589692,0.03128814473773855
42,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48761853105746356,0.5821526661891834,0.006621816301589692,0.03128814473773855
43,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4876428395166838,0.5821526661891834,0.006621816301589692,0.03128814473773855
44,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4876654272347421,0.5821526661891834,0.006621816301589692,0.03128814473773855
45,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48768639297040184,0.5821526661891834,0.006621816301589692,0.03128814473773855
46,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4877058301391993,0.5821526661891834,0.006621816301589692,0.03128814473773855
47,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48772382706948997,0.5821526661891834,0.006621816301589692,0.03128814473773855
48,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4877404672532052,0.5821526661891834,0.006621816301589692,0.03128814473773855
49,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4877558295900473,0.5821526661891834,0.006621816301589692,0.03128814473773855
50,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4877699886241375,0.5821526661891834,0.006621816301589692,0.03128814473773855
51,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4877830147723835,0.5821526661891834,0.006621816301589692,0.03128814473773855
52,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4877949745440493,0.5821526661891834,0.006621816301589692,0.03128814473773855
53,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878059307511974,0.5821526661891834,0.006621816301589692,0.03128814473773855
54,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878159427098228,0.5821526661891834,0.006621816301589692,0.03128814473773855
55,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48782506643163137,0.5821526661891834,0.006621816301589692,0.03128814473773855
56,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878333548065118,0.5821526661891834,0.006621816301589692,0.03128814473773855
57,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878408577758463,0.5821526661891834,0.006621816301589692,0.03128814473773855
58,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48784762249685665,0.5821526661891834,0.006621816301589692,0.03128814473773855
59,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878536934982446,0.5821526661891834,0.006621816301589692,0.03128814473773855
60,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878591128274203,0.5821526661891834,0.006621816301589692,0.03128814473773855
61,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48786392018963504,0.5821526661891834,0.006621816301589692,0.03128814473773855
62,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878681530793617,0.5821526661891834,0.006621816301589692,0.03128814473773855
63,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878718469042686,0.5821526661891834,0.006621816301589692,0.03128814473773855
64,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878750351021417,0.5821526661891834,0.006621816301589692,0.03128814473773855
65,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48787774925110905,0.5821526661891834,0.006621816301589692,0.03128814473773855
66,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878800191735176,0.5821526661891834,0.006621816301589692,0.03128814473773855
67,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878818730338026,0.5821526661891834,0.006621816301589692,0.03128814473773855
68,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878833374306845,0.5821526661891834,0.006621816301589692,0.03128814473773855
69,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48788443748401245,0.5821526661891834,0.006621816301589692,0.03128814473773855
70,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.487885196916566,0.5821526661891834,0.006621816301589692,0.03128814473773855
71,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878856381311076,0.5821526661891834,0.006621816301589692,0.03128814473773855
72,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878857822829689,0.5821526661891834,0.006621816301589692,0.03128814473773855
73,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.48788564934843925,0.5821526661891834,0.006621816301589692,0.03128814473773855
74,run_1745344136,2025-04-22 13:48:56,high-trust-1,"100","3","5","1","small_world","75","high-trust-1","0","2.5","3","8","3","8","3","8","7","7","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",7.844894620800168,8.101857429052183,6.759312312309821,0.4878852581892073,0.5821526661891834,0.006621816301589692,0.03128814473773855
