step,run_id,timestamp,name,num_citizens,num_corporate_media,num_influencers,num_government,network_type,steps,simulationName,truth_seeking_mean,truth_seeking_std,confirmation_bias_min,confirmation_bias_max,critical_thinking_min,critical_thinking_max,social_conformity_min,social_conformity_max,initial_trust_in_corporate,initial_trust_in_influencers,initial_trust_in_government,corporate_bias_min,corporate_bias_max,truth_commitment_corporate,corporate_publication_rate,corporate_influence_reach,influencer_bias_min,influencer_bias_max,truth_commitment_influencer,influencer_publication_rate,influencer_influence_reach,government_bias,truth_commitment_government,government_publication_rate,government_influence_reach,small_world_k,small_world_p,scale_free_m,random_p,avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.2043588869219315,4.384033498179846,4.055454445059582,0.485185609853464,0.7391044379683882,0.7244031718458249,2.1351405803234105
1,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.161733783713732,4.311706455135723,4.030124808100377,0.4830604616194681,0.7305295001903437,0.7618863829573475,2.1508080486672965
2,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.311706455135723,3.9305110707538677,0.4804871218021433,0.725212556905804,0.7618863829573475,2.2813623624093604
3,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.311706455135723,3.9305110707538677,0.4803683831594253,0.725212556905804,0.7618863829573475,2.2813623624093604
4,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.273062672991242,3.9305110707538677,0.47925914177678647,0.725212556905804,0.7819606599026077,2.2813623624093604
5,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.273062672991242,3.898775929940261,0.4784654767334682,0.725212556905804,0.7819606599026077,2.3131863959564063
6,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.259059890984729,3.874218871533574,0.47714313819545756,0.725212556905804,0.7810140825458757,2.318802610983145
7,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.242854809468237,3.8444733002029885,0.47611941443171674,0.725212556905804,0.7829979548436721,2.3394237076288094
8,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.242854809468237,3.8444733002029885,0.4762160450870732,0.725212556905804,0.7829979548436721,2.3394237076288094
9,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.7714222783810776,0.4737066934064127,0.725212556905804,0.7881382447840771,2.432243898242739
10,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.7714222783810776,0.4736605058133441,0.725212556905804,0.7881382447840771,2.432243898242739
11,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.7422622793556624,0.4730469055701899,0.725212556905804,0.7881382447840771,2.4447734966856918
12,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.715048963046018,0.47248601389109923,0.725212556905804,0.7881382447840771,2.449634961705068
13,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.715048963046018,0.4725833251905307,0.725212556905804,0.7881382447840771,2.449634961705068
14,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.715048963046018,0.4727010976595154,0.725212556905804,0.7881382447840771,2.449634961705068
15,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.681520288718263,0.4720410001970412,0.725212556905804,0.7881382447840771,2.474762580230273
16,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.646714526958346,0.4713388403957622,0.725212556905804,0.7881382447840771,2.5029138629150838
17,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.5040036605626783,0.46812911700235743,0.725212556905804,0.7881382447840771,2.5088520407629256
18,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.5040036605626783,0.4683415333184101,0.725212556905804,0.7881382447840771,2.5088520407629256
19,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.209288916132641,3.474831743527349,0.46792315352618075,0.725212556905804,0.7881382447840771,2.5058189521725778
20,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.474831743527349,0.46781572149410133,0.725212556905804,0.7890376140905474,2.5058189521725778
21,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.474831743527349,0.46808334645832284,0.725212556905804,0.7890376140905474,2.5058189521725778
22,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.443351350810935,0.4678389268785888,0.725212556905804,0.7890376140905474,2.5079036582602288
23,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.4058163904781957,0.46737765249978325,0.725212556905804,0.7890376140905474,2.530524619132433
24,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.4058163904781957,0.4675953420105886,0.725212556905804,0.7890376140905474,2.530524619132433
25,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.4058163904781957,0.46780905516616145,0.725212556905804,0.7890376140905474,2.530524619132433
26,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.4058163904781957,0.4680186081971323,0.725212556905804,0.7890376140905474,2.530524619132433
27,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.4058163904781957,0.4682238621513839,0.725212556905804,0.7890376140905474,2.530524619132433
28,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.4058163904781957,0.46842471716508144,0.725212556905804,0.7890376140905474,2.530524619132433
29,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.4058163904781957,0.4686211072441793,0.725212556905804,0.7890376140905474,2.530524619132433
30,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.3721760231485947,0.46804802375091126,0.725212556905804,0.7890376140905474,2.5353025317951263
31,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.3721760231485947,0.4682515915170319,0.725212556905804,0.7890376140905474,2.5353025317951263
32,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.3721760231485947,0.4684469073961938,0.725212556905804,0.7890376140905474,2.5353025317951263
33,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.3721760231485947,0.4686349235473212,0.725212556905804,0.7890376140905474,2.5353025317951263
34,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.3721760231485947,0.4688163847698165,0.725212556905804,0.7890376140905474,2.5353025317951263
35,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.3721760231485947,0.46899187839995266,0.725212556905804,0.7890376140905474,2.5353025317951263
36,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.3721760231485947,0.4691618722866289,0.725212556905804,0.7890376140905474,2.5353025317951263
37,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.3721760231485947,0.46932674364956206,0.725212556905804,0.7890376140905474,2.5353025317951263
38,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.334818979269782,0.4689639127304624,0.725212556905804,0.7890376140905474,2.5518404723436725
39,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.334818979269782,0.4691182175342528,0.725212556905804,0.7890376140905474,2.5518404723436725
40,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.334818979269782,0.4692689083600813,0.725212556905804,0.7890376140905474,2.5518404723436725
41,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.334818979269782,0.4694158916659852,0.725212556905804,0.7890376140905474,2.5518404723436725
42,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.334818979269782,0.46955912564164043,0.725212556905804,0.7890376140905474,2.5518404723436725
43,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.334818979269782,0.46969860823310733,0.725212556905804,0.7890376140905474,2.5518404723436725
44,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.334818979269782,0.46983436757888747,0.725212556905804,0.7890376140905474,2.5518404723436725
45,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.46703404744469984,0.725212556905804,0.7890376140905474,2.539367125625244
46,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.46729563699130194,0.725212556905804,0.7890376140905474,2.539367125625244
47,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.46753805602148574,0.725212556905804,0.7890376140905474,2.539367125625244
48,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.4677635382110946,0.725212556905804,0.7890376140905474,2.539367125625244
49,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.46797399991657374,0.725212556905804,0.7890376140905474,2.539367125625244
50,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.4681710891359236,0.725212556905804,0.7890376140905474,2.539367125625244
51,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.4683562265706122,0.725212556905804,0.7890376140905474,2.539367125625244
52,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.46853064010060586,0.725212556905804,0.7890376140905474,2.539367125625244
53,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.46869539376207286,0.725212556905804,0.7890376140905474,2.539367125625244
54,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.46885141213308157,0.725212556905804,0.7890376140905474,2.539367125625244
55,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.2019007545741847,0.4689995008800693,0.725212556905804,0.7890376140905474,2.539367125625244
56,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.46845271188731935,0.725212556905804,0.7890376140905474,2.5128098798437852
57,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.46863784864432323,0.725212556905804,0.7890376140905474,2.5128098798437852
58,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.4688098304555613,0.725212556905804,0.7890376140905474,2.5128098798437852
59,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.4689701271062872,0.725212556905804,0.7890376140905474,2.5128098798437852
60,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.4691200145667598,0.725212556905804,0.7890376140905474,2.5128098798437852
61,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.4692606018194055,0.725212556905804,0.7890376140905474,2.5128098798437852
62,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.4693928539246402,0.725212556905804,0.7890376140905474,2.5128098798437852
63,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.4695176118514833,0.725212556905804,0.7890376140905474,2.5128098798437852
64,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.46963560952657396,0.725212556905804,0.7890376140905474,2.5128098798437852
65,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.4697474884923713,0.725212556905804,0.7890376140905474,2.5128098798437852
66,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.46985381051096076,0.725212556905804,0.7890376140905474,2.5128098798437852
67,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.4699550684029199,0.725212556905804,0.7890376140905474,2.5128098798437852
68,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.4700516953701468,0.725212556905804,0.7890376140905474,2.5128098798437852
69,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.175887931605434,0.4701440730165936,0.725212556905804,0.7890376140905474,2.5128098798437852
70,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.1449821203495025,0.469468394949191,0.725212556905804,0.7890376140905474,2.494620301022186
71,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.1449821203495025,0.46958103158306186,0.725212556905804,0.7890376140905474,2.494620301022186
72,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.1449821203495025,0.46968695921815795,0.725212556905804,0.7890376140905474,2.494620301022186
73,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.1449821203495025,0.4697868062302342,0.725212556905804,0.7890376140905474,2.494620301022186
74,run_1745356696,2025-04-22 17:18:16,low-cred-1,100,3,5,1,small_world,75,low-cred-1,0,2.5,3,8,3,8,3,8,5,5,5,-3,3,3,1,0.7,-4,4,2,1,0.5,1,3,1,0.6,4,0.1,3,0.1,4.149025071891765,4.192765168050436,3.1449821203495025,0.4698811341451248,0.725212556905804,0.7890376140905474,2.494620301022186
