step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-high-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.2",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.819653631785552,4.861663565958032,0.48406300561662163,0.02355019386802297,2.6296114568573357,0.012685618739957667
1,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.819653631785552,4.850478669915962,0.4820430285058414,0.02355019386802297,2.6296114568573357,0.012007211519252723
2,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.7453764521946926,4.850478669915962,0.4789755964423516,0.02355019386802297,2.724767095079528,0.012007211519252723
3,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.47579692358596753,0.02355019386802297,2.761969410165777,0.012007211519252723
4,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.47457884530453565,0.02355019386802297,2.761969410165777,0.012007211519252723
5,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.47347874837377113,0.02355019386802297,2.761969410165777,0.012007211519252723
6,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4724859479140913,0.02355019386802297,2.761969410165777,0.012007211519252723
7,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4715906083637864,0.02355019386802297,2.761969410165777,0.012007211519252723
8,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.47078369741848947,0.02355019386802297,2.761969410165777,0.012007211519252723
9,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.47005693799189197,0.02355019386802297,2.761969410165777,0.012007211519252723
10,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46940275948350174,0.02355019386802297,2.761969410165777,0.012007211519252723
11,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46881424933353655,0.02355019386802297,2.761969410165777,0.012007211519252723
12,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46828510559851444,0.02355019386802297,2.761969410165777,0.012007211519252723
13,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4678095910832088,0.02355019386802297,2.761969410165777,0.012007211519252723
14,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46738248940668137,0.02355019386802297,2.761969410165777,0.012007211519252723
15,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4669990632548351,0.02355019386802297,2.761969410165777,0.012007211519252723
16,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4666550149733779,0.02355019386802297,2.761969410165777,0.012007211519252723
17,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4663464495782788,0.02355019386802297,2.761969410165777,0.012007211519252723
18,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4660698402016641,0.02355019386802297,2.761969410165777,0.012007211519252723
19,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.465821995946242,0.02355019386802297,2.761969410165777,0.012007211519252723
20,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4656000320879996,0.02355019386802297,2.761969410165777,0.012007211519252723
21,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46540134254279225,0.02355019386802297,2.761969410165777,0.012007211519252723
22,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4652235744956701,0.02355019386802297,2.761969410165777,0.012007211519252723
23,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46506460508082853,0.02355019386802297,2.761969410165777,0.012007211519252723
24,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4649225199936668,0.02355019386802297,2.761969410165777,0.012007211519252723
25,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46479559391359265,0.02355019386802297,2.761969410165777,0.012007211519252723
26,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46468227261607287,0.02355019386802297,2.761969410165777,0.012007211519252723
27,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4645811566543416,0.02355019386802297,2.761969410165777,0.012007211519252723
28,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46449098649461024,0.02355019386802297,2.761969410165777,0.012007211519252723
29,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4644106289931337,0.02355019386802297,2.761969410165777,0.012007211519252723
30,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4643390651087331,0.02355019386802297,2.761969410165777,0.012007211519252723
31,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4642753787501067,0.02355019386802297,2.761969410165777,0.012007211519252723
32,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46421874666323826,0.02355019386802297,2.761969410165777,0.012007211519252723
33,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4641684292702966,0.02355019386802297,2.761969410165777,0.012007211519252723
34,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.4641237623774681,0.02355019386802297,2.761969410165777,0.012007211519252723
35,run_1746382124,2025-05-04 14:08:44,random-high-s3,"100","3","5","1","random","75","random-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.2",5.133797850333215,3.6821714961992984,4.850478669915962,0.46408414967509715,0.02355019386802297,2.761969410165777,0.012007211519252723
