step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-low-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.05",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.717074943109352,4.179833925768703,4.48681965673213,0.49305966297610887,0.5348163820417591,1.5320691179127621,0.29453599984537826
1,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.731112829362288,4.1529715316129865,4.454443845511506,0.48905324188071453,0.5341931118639469,1.5594431029523952,0.2955846303312298
2,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.731112829362288,4.1529715316129865,4.454443845511506,0.48577939514294977,0.5341931118639469,1.5594431029523952,0.2955846303312298
3,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.745766393398489,4.132733267222388,4.4252418850982265,0.48165147179197626,0.5340242614957902,1.5657074779820672,0.29238334531216503
4,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.745766393398489,4.106769604673045,4.4252418850982265,0.47815842285898763,0.5340242614957902,1.5874097019264903,0.29238334531216503
5,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.745766393398489,4.106769604673045,4.4040360915185515,0.4757688413116727,0.5340242614957902,1.5874097019264903,0.2900533682168902
6,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.745766393398489,4.074495532253835,4.4040360915185515,0.4733735040059511,0.5340242614957902,1.632873296296364,0.2900533682168902
7,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,4.074495532253835,4.392904662677058,0.47062810321606724,0.5337124288187218,1.632873296296364,0.28905247063544204
8,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,4.027887140331029,4.344666882686047,0.46595975801063927,0.5337124288187218,1.6549876264255252,0.27538648350223427
9,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,4.0020898093755495,4.344666882686047,0.463661045677304,0.5337124288187218,1.6707165182498387,0.27538648350223427
10,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.9504772237064394,4.344666882686047,0.4606868800776192,0.5337124288187218,1.7046130837532845,0.27538648350223427
11,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.9504772237064394,4.344666882686047,0.4592870777575952,0.5337124288187218,1.7046130837532845,0.27538648350223427
12,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.9199888473194293,4.344666882686047,0.45763750833569006,0.5337124288187218,1.73264116126941,0.27538648350223427
13,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.9199888473194293,4.344666882686047,0.45643105409433415,0.5337124288187218,1.73264116126941,0.27538648350223427
14,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.9199888473194293,4.334338709311674,0.4553093546250741,0.5337124288187218,1.73264116126941,0.2724101407549202
15,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.9199888473194293,4.325998628326386,0.45384286724808504,0.5337124288187218,1.73264116126941,0.2681929407419714
16,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.9199888473194293,4.325998628326386,0.45285411234463424,0.5337124288187218,1.73264116126941,0.2681929407419714
17,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.9199888473194293,4.317573798689745,0.45185144142822514,0.5337124288187218,1.73264116126941,0.2638630449657825
18,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.9199888473194293,4.317573798689745,0.4509796482288266,0.5337124288187218,1.73264116126941,0.2638630449657825
19,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.861521380794089,4.317573798689745,0.4490658115984481,0.5337124288187218,1.775485278301191,0.2638630449657825
20,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.861521380794089,4.317573798689745,0.4483501317100345,0.5337124288187218,1.775485278301191,0.2638630449657825
21,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.861521380794089,4.317573798689745,0.44766695467182666,0.5337124288187218,1.775485278301191,0.2638630449657825
22,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.861521380794089,4.304525932269159,0.4468120506605673,0.5337124288187218,1.775485278301191,0.26290906812739084
23,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.4456651385384102,0.5337124288187218,1.78241553451033,0.26290906812739084
24,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.445097210652476,0.5337124288187218,1.78241553451033,0.26290906812739084
25,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.4445507605777258,0.5337124288187218,1.78241553451033,0.26290906812739084
26,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.4440256750689268,0.5337124288187218,1.78241553451033,0.26290906812739084
27,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.4435216615184616,0.5337124288187218,1.78241553451033,0.26290906812739084
28,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.44303829322131577,0.5337124288187218,1.78241553451033,0.26290906812739084
29,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.44257504529453484,0.5337124288187218,1.78241553451033,0.26290906812739084
30,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.4421313231060763,0.5337124288187218,1.78241553451033,0.26290906812739084
31,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.441706484700763,0.5337124288187218,1.78241553451033,0.26290906812739084
32,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.44129985841704594,0.5337124288187218,1.78241553451033,0.26290906812739084
33,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.304525932269159,0.4409107566527877,0.5337124288187218,1.78241553451033,0.26290906812739084
34,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.291857640627986,0.44051514925535323,0.5337124288187218,1.78241553451033,0.2611762071870911
35,run_1746382042,2025-05-04 14:07:22,random-low-s1,"100","3","5","1","random","75","random-low-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.05",5.760620327898294,3.835800217758158,4.291857640627986,0.44016056082731886,0.5337124288187218,1.78241553451033,0.2611762071870911
