step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="random",steps="75",simulationName="random-med-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.9602336999632866,4.6042382196386455,0.49091087881638024,0.3664174412380852,2.377765573998159,0.3126981190908076
1,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.9008477762217963,4.4611794112069205,0.4890737049723579,0.3664174412380852,2.4270802101472397,0.34031966483804055
2,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.9008477762217963,4.429597988053111,0.48981485283941434,0.3664174412380852,2.4270802101472397,0.3390630191851917
3,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.848291484414913,4.416617757590025,0.4899240436199906,0.3664174412380852,2.4469147895596595,0.3409352719464424
4,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.848291484414913,4.416617757590025,0.49164193579068216,0.3664174412380852,2.4469147895596595,0.3409352719464424
5,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.811694307853807,4.390890173209086,0.4915508965026808,0.3664174412380852,2.495212209668298,0.34338704931300074
6,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.811694307853807,4.390890173209086,0.4929175424891806,0.3664174412380852,2.495212209668298,0.34338704931300074
7,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.811694307853807,4.390890173209086,0.49416503316443816,0.3664174412380852,2.495212209668298,0.34338704931300074
8,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.811694307853807,4.369229292748377,0.49512089318925745,0.3664174412380852,2.495212209668298,0.3400313557526131
9,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.49472957360904735,0.3664174412380852,2.587745004954268,0.3400313557526131
10,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.4957128881050396,0.3664174412380852,2.587745004954268,0.3400313557526131
11,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.49661187152330355,0.3664174412380852,2.587745004954268,0.3400313557526131
12,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.49743438570346915,0.3664174412380852,2.587745004954268,0.3400313557526131
13,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.4981875357999133,0.3664174412380852,2.587745004954268,0.3400313557526131
14,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.49887773963067955,0.3664174412380852,2.587745004954268,0.3400313557526131
15,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.499510792083468,0.3664174412380852,2.587745004954268,0.3400313557526131
16,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.5000919245396512,0.3664174412380852,2.587745004954268,0.3400313557526131
17,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.5006258594073159,0.3664174412380852,2.587745004954268,0.3400313557526131
18,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.5011168599436897,0.3664174412380852,2.587745004954268,0.3400313557526131
19,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.5015687756058401,0.3664174412380852,2.587745004954268,0.3400313557526131
20,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.7377164497024813,4.369229292748377,0.501985083203951,0.3664174412380852,2.587745004954268,0.3400313557526131
21,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5017260886193463,0.3664174412380852,2.606225616997426,0.3400313557526131
22,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5021108669282692,0.3664174412380852,2.606225616997426,0.3400313557526131
23,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.502464964346298,0.3664174412380852,2.606225616997426,0.3400313557526131
24,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5027911930083397,0.3664174412380852,2.606225616997426,0.3400313557526131
25,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5030920718904128,0.3664174412380852,2.606225616997426,0.3400313557526131
26,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5033698608135078,0.3664174412380852,2.606225616997426,0.3400313557526131
27,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.503626590175764,0.3664174412380852,2.606225616997426,0.3400313557526131
28,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5038640869787431,0.3664174412380852,2.606225616997426,0.3400313557526131
29,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5040839976364534,0.3664174412380852,2.606225616997426,0.3400313557526131
30,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.504287807989254,0.3664174412380852,2.606225616997426,0.3400313557526131
31,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5044768608873802,0.3664174412380852,2.606225616997426,0.3400313557526131
32,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5046523716593729,0.3664174412380852,2.606225616997426,0.3400313557526131
33,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5048154417380354,0.3664174412380852,2.606225616997426,0.3400313557526131
34,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.504967070679801,0.3664174412380852,2.606225616997426,0.3400313557526131
35,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5051081667816911,0.3664174412380852,2.606225616997426,0.3400313557526131
36,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5052395564727428,0.3664174412380852,2.606225616997426,0.3400313557526131
37,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5053619926332235,0.3664174412380852,2.606225616997426,0.3400313557526131
38,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5054761619746451,0.3664174412380852,2.606225616997426,0.3400313557526131
39,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.505582691596059,0.3664174412380852,2.606225616997426,0.3400313557526131
40,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5056821548169951,0.3664174412380852,2.606225616997426,0.3400313557526131
41,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5057750763743397,0.3664174412380852,2.606225616997426,0.3400313557526131
42,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5058619370591706,0.3664174412380852,2.606225616997426,0.3400313557526131
43,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5059431778598049,0.3664174412380852,2.606225616997426,0.3400313557526131
44,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5060192036688842,0.3664174412380852,2.606225616997426,0.3400313557526131
45,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5060903866050049,0.3664174412380852,2.606225616997426,0.3400313557526131
46,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5061570689930829,0.3664174412380852,2.606225616997426,0.3400313557526131
47,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5062195660421424,0.3664174412380852,2.606225616997426,0.3400313557526131
48,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5062781682544576,0.3664174412380852,2.606225616997426,0.3400313557526131
49,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5063331435958426,0.3664174412380852,2.606225616997426,0.3400313557526131
50,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5063847394532695,0.3664174412380852,2.606225616997426,0.3400313557526131
51,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5064331844028783,0.3664174412380852,2.606225616997426,0.3400313557526131
52,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5064786898086954,0.3664174412380852,2.606225616997426,0.3400313557526131
53,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5065214512700047,0.3664174412380852,2.606225616997426,0.3400313557526131
54,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5065616499332252,0.3664174412380852,2.606225616997426,0.3400313557526131
55,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5065994536823317,0.3664174412380852,2.606225616997426,0.3400313557526131
56,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5066350182202602,0.3664174412380852,2.606225616997426,0.3400313557526131
57,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.506668488052337,0.3664174412380852,2.606225616997426,0.3400313557526131
58,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.506699997381548,0.3664174412380852,2.606225616997426,0.3400313557526131
59,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5067296709243815,0.3664174412380852,2.606225616997426,0.3400313557526131
60,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5067576246550248,0.3664174412380852,2.606225616997426,0.3400313557526131
61,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5067839664848662,0.3664174412380852,2.606225616997426,0.3400313557526131
62,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.506808796883502,0.3664174412380852,2.606225616997426,0.3400313557526131
63,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5068322094468062,0.3664174412380852,2.606225616997426,0.3400313557526131
64,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5068542914170324,0.3664174412380852,2.606225616997426,0.3400313557526131
65,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5068751241594118,0.3664174412380852,2.606225616997426,0.3400313557526131
66,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5068947835992522,0.3664174412380852,2.606225616997426,0.3400313557526131
67,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5069133406231382,0.3664174412380852,2.606225616997426,0.3400313557526131
68,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5069308614474781,0.3664174412380852,2.606225616997426,0.3400313557526131
69,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5069474079573136,0.3664174412380852,2.606225616997426,0.3400313557526131
70,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5069630380180324,0.3664174412380852,2.606225616997426,0.3400313557526131
71,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5069778057623592,0.3664174412380852,2.606225616997426,0.3400313557526131
72,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5069917618547802,0.3664174412380852,2.606225616997426,0.3400313557526131
73,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.5070049537353456,0.3664174412380852,2.606225616997426,0.3400313557526131
74,run_1746382099,2025-05-04 14:08:19,random-med-s3,"100","3","5","1","random","75","random-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.592282005089958,3.706278039995788,4.369229292748377,0.507017425844614,0.3664174412380852,2.606225616997426,0.3400313557526131
