step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-high-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="8",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.056446739938328,4.386915646932183,4.874227767888514,0.4898922137392743,0.006646196140739878,1.5368176036113612,0.030277748630260545
1,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.056446739938328,4.386915646932183,4.824057150486952,0.48780455187943694,0.006646196140739878,1.5368176036113612,0.03346328659969787
2,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.057931237784067,4.386915646932183,4.824057150486952,0.48796910738958515,0.006696775664611457,1.5368176036113612,0.03346328659969787
3,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.063135591957479,4.386915646932183,4.824057150486952,0.48856542020115673,0.006980635253030466,1.5368176036113612,0.03346328659969787
4,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.064488917676545,4.354620110855067,4.824057150486952,0.48734206537643787,0.006991066771948032,1.6004749913260494,0.03346328659969787
5,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.064488917676545,4.288882358888238,4.824057150486952,0.4862695718955175,0.006991066771948032,1.7286720039861252,0.03346328659969787
6,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.064488917676545,4.288882358888238,4.824057150486952,0.48611746048805415,0.006991066771948032,1.7286720039861252,0.03346328659969787
7,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.064488917676545,4.263383094880082,4.824057150486952,0.4853052087383314,0.006991066771948032,1.7567770850738023,0.03346328659969787
8,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.263383094880082,4.824057150486952,0.48628477145773613,0.007239707820607058,1.7567770850738023,0.03346328659969787
9,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.227666315795973,4.824057150486952,0.4854826747913465,0.007239707820607058,1.8304510610403923,0.03346328659969787
10,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.227666315795973,4.824057150486952,0.48523076563703865,0.007239707820607058,1.8304510610403923,0.03346328659969787
11,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.163563849327936,4.824057150486952,0.4834782683474834,0.007239707820607058,1.9343350522149956,0.03346328659969787
12,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.163563849327936,4.824057150486952,0.48326214096950454,0.007239707820607058,1.9343350522149956,0.03346328659969787
13,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.163563849327936,4.824057150486952,0.48306444155056316,0.007239707820607058,1.9343350522149956,0.03346328659969787
14,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.163563849327936,4.824057150486952,0.48288250468239063,0.007239707820607058,1.9343350522149956,0.03346328659969787
15,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.163563849327936,4.824057150486952,0.4827140909622331,0.007239707820607058,1.9343350522149956,0.03346328659969787
16,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.1318776754863755,4.824057150486952,0.4820812997559376,0.007239707820607058,1.980725477318917,0.03346328659969787
17,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.02962220311645,4.824057150486952,0.4795541630233683,0.007239707820607058,2.141648505846161,0.03346328659969787
18,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.02962220311645,4.824057150486952,0.47945758060599997,0.007239707820607058,2.141648505846161,0.03346328659969787
19,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.02962220311645,4.824057150486952,0.4793646702595562,0.007239707820607058,2.141648505846161,0.03346328659969787
20,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,4.02962220311645,4.824057150486952,0.4792748025290712,0.007239707820607058,2.141648505846161,0.03346328659969787
21,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.9665091409306577,4.824057150486952,0.4776357551798697,0.007239707820607058,2.2180770125050095,0.03346328659969787
22,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.9665091409306577,4.824057150486952,0.4776169387139673,0.007239707820607058,2.2180770125050095,0.03346328659969787
23,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.9003641479633147,4.824057150486952,0.47631322759382,0.007239707820607058,2.2957758777382593,0.03346328659969787
24,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.9003641479633147,4.824057150486952,0.4762510337552954,0.007239707820607058,2.2957758777382593,0.03346328659969787
25,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.9003641479633147,4.824057150486952,0.4761880626460146,0.007239707820607058,2.2957758777382593,0.03346328659969787
26,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.9003641479633147,4.824057150486952,0.476124465722118,0.007239707820607058,2.2957758777382593,0.03346328659969787
27,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.9003641479633147,4.824057150486952,0.4760603979751282,0.007239707820607058,2.2957758777382593,0.03346328659969787
28,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.871697980697817,4.824057150486952,0.47530768818901153,0.007239707820607058,2.3140843526306734,0.03346328659969787
29,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.871697980697817,4.824057150486952,0.4752562035709654,0.007239707820607058,2.3140843526306734,0.03346328659969787
30,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.871697980697817,4.824057150486952,0.4752034416376711,0.007239707820607058,2.3140843526306734,0.03346328659969787
31,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.871697980697817,4.824057150486952,0.475149692361169,0.007239707820607058,2.3140843526306734,0.03346328659969787
32,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.871697980697817,4.824057150486952,0.47509521479951317,0.007239707820607058,2.3140843526306734,0.03346328659969787
33,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.871697980697817,4.824057150486952,0.4750402392199875,0.007239707820607058,2.3140843526306734,0.03346328659969787
34,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.871697980697817,4.824057150486952,0.4749849692617643,0.007239707820607058,2.3140843526306734,0.03346328659969787
35,run_1746381457,2025-05-04 13:57:37,small-world-high-s1,"100","3","5","1","small_world","75","small-world-high-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.069865560793237,3.871697980697817,4.824057150486952,0.47492958408379754,0.007239707820607058,2.3140843526306734,0.03346328659969787
