step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-low-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="2",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.130880182791132,4.093459695282802,4.938458876395977,0.4462677062794569,0.028617092520537707,2.0692849960459347,0.007557067069365677
1,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.130880182791132,4.021208727876935,4.932814697004149,0.44601341573433145,0.028617092520537707,2.194498127852912,0.007895899042478225
2,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.13824617110166,3.9837583296016197,4.930969109092263,0.4463706072211265,0.029363723349120522,2.2600365826810873,0.007985119555656593
3,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.154008598219845,3.9837583296016197,4.9253322554809555,0.4458061154325755,0.02975758197855324,2.2600365826810873,0.008246433314007368
4,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.157385122989283,3.9837583296016197,4.923390170370853,0.4471488197329122,0.029846245317706317,2.2600365826810873,0.008329808847250092
5,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.160663383687438,3.8812567851532367,4.923390170370853,0.44549236908351475,0.029878298718667935,2.398253281933458,0.008329808847250092
6,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.160663383687438,3.8812567851532367,4.92132205955767,0.44657867011781577,0.029878298718667935,2.398253281933458,0.008436364764370359
7,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.164102040326841,3.8812567851532367,4.919521383423852,0.44777555795942087,0.029943977885503334,2.398253281933458,0.008474018804496778
8,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.164102040326841,3.8812567851532367,4.917627313890511,0.44846379137867814,0.029943977885503334,2.398253281933458,0.008524317053327868
9,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.164102040326841,3.8467187655322346,4.917627313890511,0.44878062060307466,0.029943977885503334,2.4390695368577098,0.008524317053327868
10,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.164102040326841,3.8467187655322346,4.917627313890511,0.4495528792394796,0.029943977885503334,2.4390695368577098,0.008524317053327868
11,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.8467187655322346,4.9158790412721585,0.4498815182923559,0.030002102590732892,2.4390695368577098,0.008538886487737356
12,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.8117980880032123,4.9158790412721585,0.4495902906216909,0.030002102590732892,2.479248730868975,0.008538886487737356
13,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.8117980880032123,4.914277552268354,0.44999315761495823,0.030002102590732892,2.479248730868975,0.008523360842854518
14,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.8117980880032123,4.914277552268354,0.4503782614231887,0.030002102590732892,2.479248730868975,0.008523360842854518
15,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.8117980880032123,4.912119210646508,0.4501139372580272,0.030002102590732892,2.479248730868975,0.008614509606225656
16,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.8117980880032123,4.912119210646508,0.45043405794166785,0.030002102590732892,2.479248730868975,0.008614509606225656
17,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.783579928588681,4.9107323568798495,0.4500962301586662,0.030002102590732892,2.4910211764838674,0.008561166972401411
18,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.783579928588681,4.9107323568798495,0.4503103773085304,0.030002102590732892,2.4910211764838674,0.008561166972401411
19,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.783579928588681,4.9107323568798495,0.4505014395899103,0.030002102590732892,2.4910211764838674,0.008561166972401411
20,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.7566757170933123,4.9107323568798495,0.44993661567719406,0.030002102590732892,2.4972273537695107,0.008561166972401411
21,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.167585764824642,3.7274391379793643,4.9107323568798495,0.4494012652723246,0.030002102590732892,2.5091492345168493,0.008561166972401411
22,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.7274391379793643,4.9107323568798495,0.4499266125422532,0.03010195869282963,2.5091492345168493,0.008561166972401411
23,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.7274391379793643,4.9107323568798495,0.45011597180443025,0.03010195869282963,2.5091492345168493,0.008561166972401411
24,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.7274391379793643,4.907634682987341,0.4498503327880778,0.03010195869282963,2.5091492345168493,0.008479733334520255
25,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.7274391379793643,4.907634682987341,0.4499973013599864,0.03010195869282963,2.5091492345168493,0.008479733334520255
26,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.7274391379793643,4.907634682987341,0.4501242839961158,0.03010195869282963,2.5091492345168493,0.008479733334520255
27,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.7274391379793643,4.907634682987341,0.4502336046959894,0.03010195869282963,2.5091492345168493,0.008479733334520255
28,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.7274391379793643,4.907634682987341,0.45032730969870455,0.03010195869282963,2.5091492345168493,0.008479733334520255
29,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.7274391379793643,4.907634682987341,0.45040720424110053,0.03010195869282963,2.5091492345168493,0.008479733334520255
30,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.7274391379793643,4.907634682987341,0.45047488369619926,0.03010195869282963,2.5091492345168493,0.008479733334520255
31,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.6900428511239727,4.907634682987341,0.4499724631384203,0.03010195869282963,2.5524208772292183,0.008479733334520255
32,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.6900428511239727,4.907634682987341,0.4500295349102161,0.03010195869282963,2.5524208772292183,0.008479733334520255
33,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.6900428511239727,4.907634682987341,0.4500776186890102,0.03010195869282963,2.5524208772292183,0.008479733334520255
34,run_1746381401,2025-05-04 13:56:41,small-world-low-s3,"100","3","5","1","small_world","75","small-world-low-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","2","0.1","3","0.1",5.171246841529963,3.6900428511239727,4.907634682987341,0.4501176601912772,0.03010195869282963,2.5524208772292183,0.008479733334520255
