step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-med-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.096015690383513,4.355174750740057,4.533207545527813,0.45514213676890625,0.014168069324119655,1.5112030501012268,0.3998965108592514
1,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.102734078498174,4.301967633293451,4.510384976647542,0.4511657769810584,0.01435542510665813,1.5839830266589683,0.4042462679196363
2,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.107038817291189,4.301967633293451,4.495556481468196,0.45125763860575263,0.01437929228545377,1.5839830266589683,0.41149430255170727
3,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.1096974995784326,4.268490165955298,4.468576262886002,0.4493684695956657,0.014509918429240374,1.6481996562625134,0.4207975255193988
4,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.176688805808734,4.468576262886002,0.4467833595673031,0.014627436069628453,1.7879179056053178,0.4207975255193988
5,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.151806395917852,4.452772138519709,0.4451096400312803,0.014627436069628453,1.808240270277887,0.4287274162058419
6,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.151806395917852,4.452772138519709,0.44473994549583756,0.014627436069628453,1.808240270277887,0.4287274162058419
7,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.151806395917852,4.452772138519709,0.44441194026649733,0.014627436069628453,1.808240270277887,0.4287274162058419
8,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.4164659958035335,0.44121880378591727,0.014627436069628453,1.8799801137284868,0.4324346214020587
9,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.4164659958035335,0.4409925145473398,0.014627436069628453,1.8799801137284868,0.4324346214020587
10,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.4164659958035335,0.44079370070169055,0.014627436069628453,1.8799801137284868,0.4324346214020587
11,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.375319563472879,0.440108534561883,0.014627436069628453,1.8799801137284868,0.4403332916665552
12,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.375319563472879,0.4399551703242125,0.014627436069628453,1.8799801137284868,0.4403332916665552
13,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.375319563472879,0.43981716970556,0.014627436069628453,1.8799801137284868,0.4403332916665552
14,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.43907758318253287,0.014627436069628453,1.8799801137284868,0.4389033062821991
15,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.438924567405494,0.014627436069628453,1.8799801137284868,0.4389033062821991
16,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.4387851385130641,0.014627436069628453,1.8799801137284868,0.4389033062821991
17,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.43865763528350316,0.014627436069628453,1.8799801137284868,0.4389033062821991
18,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.4385406443816702,0.014627436069628453,1.8799801137284868,0.4389033062821991
19,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.43843296184103275,0.014627436069628453,1.8799801137284868,0.4389033062821991
20,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.4383335603871755,0.014627436069628453,1.8799801137284868,0.4389033062821991
21,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.43824156175840884,0.014627436069628453,1.8799801137284868,0.4389033062821991
22,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.4381562132926213,0.014627436069628453,1.8799801137284868,0.4389033062821991
23,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.43807686814966845,0.014627436069628453,1.8799801137284868,0.4389033062821991
24,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.43800296862644883,0.014627436069628453,1.8799801137284868,0.4389033062821991
25,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.437934032098571,0.014627436069628453,1.8799801137284868,0.4389033062821991
26,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.43786963918928146,0.014627436069628453,1.8799801137284868,0.4389033062821991
27,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.43780942382422416,0.014627436069628453,1.8799801137284868,0.4389033062821991
28,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.363972737988019,0.43775306488064325,0.014627436069628453,1.8799801137284868,0.4389033062821991
29,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.350756224192857,0.437274002181459,0.014627436069628453,1.8799801137284868,0.43938412757011247
30,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.350756224192857,0.43724631935380287,0.014627436069628453,1.8799801137284868,0.43938412757011247
31,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.350756224192857,0.437216670113108,0.014627436069628453,1.8799801137284868,0.43938412757011247
32,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.350756224192857,0.4371859257258356,0.014627436069628453,1.8799801137284868,0.43938412757011247
33,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.350756224192857,0.437154758112066,0.014627436069628453,1.8799801137284868,0.43938412757011247
34,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.350756224192857,0.43712368129189505,0.014627436069628453,1.8799801137284868,0.43938412757011247
35,run_1746381429,2025-05-04 13:57:09,small-world-med-s3,"100","3","5","1","small_world","75","small-world-med-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.112359528738697,4.07166286756141,4.350756224192857,0.43709308433845073,0.014627436069628453,1.8799801137284868,0.43938412757011247
