step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-high-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.104857085666439,8.80507706414054,4.89121008996435,0.4806845014847429,0.015627114647344315,0.6431114300843064,0.021594352415400107
1,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.107130152479675,8.838682928723905,4.868222138159022,0.4805316760422618,0.01566193676522829,0.6444852742741108,0.023785699705547593
2,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.107130152479675,8.838682928723905,4.854988620255817,0.47982287187333456,0.01566193676522829,0.6444852742741108,0.02450541368566918
3,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.109400828283552,8.838682928723905,4.844641414584756,0.47936370202263234,0.015685861967050737,0.6444852742741108,0.025014668898649846
4,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.111965845331839,8.838682928723905,4.832454116059451,0.47733759013335486,0.01577598392110484,0.6444852742741108,0.02483121269147015
5,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.11400553217671,8.838682928723905,4.832454116059451,0.47691448199672687,0.015731105317597388,0.6444852742741108,0.02483121269147015
6,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.11400553217671,8.838682928723905,4.829917631545631,0.4761811407687013,0.015731105317597388,0.6444852742741108,0.024618199226727307
7,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.116235731041638,8.854807068671974,4.826456102933608,0.47607888968525414,0.01571500021142093,0.6431779934619367,0.02462694510997009
8,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.116235731041638,8.854807068671974,4.826456102933608,0.4758899244671142,0.01571500021142093,0.6431779934619367,0.02462694510997009
9,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.826456102933608,0.4752619343789972,0.015683560815260397,0.6431779934619367,0.02462694510997009
10,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.826456102933608,0.47503749815438534,0.015683560815260397,0.6431779934619367,0.02462694510997009
11,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.826456102933608,0.47480192339649613,0.015683560815260397,0.6431779934619367,0.02462694510997009
12,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.826456102933608,0.47455878559780035,0.015683560815260397,0.6431779934619367,0.02462694510997009
13,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.822979192278847,0.47396512785127404,0.015683560815260397,0.6431779934619367,0.024616953722830116
14,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.822979192278847,0.4737173980842851,0.015683560815260397,0.6431779934619367,0.024616953722830116
15,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.822979192278847,0.47346943760834315,0.015683560815260397,0.6431779934619367,0.024616953722830116
16,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.822979192278847,0.4732227195422848,0.015683560815260397,0.6431779934619367,0.024616953722830116
17,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.822979192278847,0.47297842317908234,0.015683560815260397,0.6431779934619367,0.024616953722830116
18,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.822979192278847,0.4727374846648529,0.015683560815260397,0.6431779934619367,0.024616953722830116
19,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.822979192278847,0.47250063900234573,0.015683560815260397,0.6431779934619367,0.024616953722830116
20,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.822979192278847,0.47226845489652824,0.015683560815260397,0.6431779934619367,0.024616953722830116
21,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.854807068671974,4.822979192278847,0.47204136368706956,0.015683560815260397,0.6431779934619367,0.024616953722830116
22,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.47195122369726195,0.015683560815260397,0.6383766827097979,0.024616953722830116
23,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.4717380296915106,0.015683560815260397,0.6383766827097979,0.024616953722830116
24,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.4715302425158802,0.015683560815260397,0.6383766827097979,0.024616953722830116
25,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.47132799887759447,0.015683560815260397,0.6383766827097979,0.024616953722830116
26,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.47113137737824795,0.015683560815260397,0.6383766827097979,0.024616953722830116
27,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.47094040897591527,0.015683560815260397,0.6383766827097979,0.024616953722830116
28,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.4707550857418582,0.015683560815260397,0.6383766827097979,0.024616953722830116
29,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.4705753681899197,0.015683560815260397,0.6383766827097979,0.024616953722830116
30,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.470401191410192,0.015683560815260397,0.6383766827097979,0.024616953722830116
31,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.47023247020007103,0.015683560815260397,0.6383766827097979,0.024616953722830116
32,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.4700691033539147,0.015683560815260397,0.6383766827097979,0.024616953722830116
33,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.46991097724605735,0.015683560815260397,0.6383766827097979,0.024616953722830116
34,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.46975796881994225,0.015683560815260397,0.6383766827097979,0.024616953722830116
35,run_1746380968,2025-05-04 13:49:28,high-trust-high-accuracy-s2,"100","3","5","1","small_world","75","high-trust-high-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.118439847366025,8.868545896415368,4.822979192278847,0.4696099480778389,0.015683560815260397,0.6383766827097979,0.024616953722830116
