step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-low-accuracy-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.125635188505467,6.828797424750567,4.916746454329688,0.46428268837816006,0.021636881343329476,2.3016904214713465,0.01380905565933414
1,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.140508904257355,6.739259448051197,4.89035488079991,0.4592757165104217,0.02216193007379428,2.354376665772428,0.015832882348162252
2,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.140508904257355,6.6821906310822605,4.882757522168974,0.4588109338943944,0.02216193007379428,2.3707417531676147,0.01606225427016987
3,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.140508904257355,6.6821906310822605,4.8799669205278535,0.45905153212796224,0.02216193007379428,2.3707417531676147,0.01617885846250399
4,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.140508904257355,6.6821906310822605,4.875820359993716,0.45945795597518896,0.02216193007379428,2.3707417531676147,0.01602624477722964
5,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.140508904257355,6.648906319697294,4.87361124046608,0.4590483078984888,0.02216193007379428,2.3926936914582155,0.01596073014153503
6,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.870670273900868,0.4573462470158678,0.0224102614059538,2.4063098621087597,0.016073599058951123
7,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.868469570897828,0.4572784309228765,0.0224102614059538,2.4063098621087597,0.015983832702785125
8,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.868469570897828,0.4575513934599127,0.0224102614059538,2.4063098621087597,0.015983832702785125
9,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.4573890457917601,0.0224102614059538,2.4063098621087597,0.015870681682375053
10,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.45754747571528936,0.0224102614059538,2.4063098621087597,0.015870681682375053
11,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.4576593494411931,0.0224102614059538,2.4063098621087597,0.015870681682375053
12,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.45773166798447157,0.0224102614059538,2.4063098621087597,0.015870681682375053
13,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.4577704191593459,0.0224102614059538,2.4063098621087597,0.015870681682375053
14,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.45778072625114313,0.0224102614059538,2.4063098621087597,0.015870681682375053
15,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.45776697435981256,0.0224102614059538,2.4063098621087597,0.015870681682375053
16,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.45773291785803333,0.0224102614059538,2.4063098621087597,0.015870681682375053
17,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.457681771860423,0.0224102614059538,2.4063098621087597,0.015870681682375053
18,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.45761629014346306,0.0224102614059538,2.4063098621087597,0.015870681682375053
19,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.45753883157319275,0.0224102614059538,2.4063098621087597,0.015870681682375053
20,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.45745141677698503,0.0224102614059538,2.4063098621087597,0.015870681682375053
21,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.45735577652648035,0.0224102614059538,2.4063098621087597,0.015870681682375053
22,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.4572533930724447,0.0224102614059538,2.4063098621087597,0.015870681682375053
23,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.4571455354819218,0.0224102614059538,2.4063098621087597,0.015870681682375053
24,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.5906706158634725,4.866352176356065,0.457033289867634,0.0224102614059538,2.4063098621087597,0.015870681682375053
25,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.144054863878812,6.560296822182547,4.866352176356065,0.45611306815906033,0.0224102614059538,2.412030669138872,0.015870681682375053
26,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.147145752465713,6.560296822182547,4.866352176356065,0.4561284003157684,0.022465551970059443,2.412030669138872,0.015870681682375053
27,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.147145752465713,6.560296822182547,4.866352176356065,0.4559714020186607,0.022465551970059443,2.412030669138872,0.015870681682375053
28,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.147145752465713,6.560296822182547,4.866352176356065,0.4558188522793353,0.022465551970059443,2.412030669138872,0.015870681682375053
29,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.147145752465713,6.560296822182547,4.866352176356065,0.4556703834991485,0.022465551970059443,2.412030669138872,0.015870681682375053
30,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.147145752465713,6.560296822182547,4.866352176356065,0.4555256757515888,0.022465551970059443,2.412030669138872,0.015870681682375053
31,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.147145752465713,6.560296822182547,4.866352176356065,0.4553844504926801,0.022465551970059443,2.412030669138872,0.015870681682375053
32,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.147145752465713,6.560296822182547,4.866352176356065,0.4552464650250247,0.022465551970059443,2.412030669138872,0.015870681682375053
33,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.147145752465713,6.560296822182547,4.866352176356065,0.45511150764161096,0.022465551970059443,2.412030669138872,0.015870681682375053
34,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.147145752465713,6.560296822182547,4.866352176356065,0.45497939337914894,0.022465551970059443,2.412030669138872,0.015870681682375053
35,run_1746380831,2025-05-04 13:47:11,high-trust-low-accuracy-s3,"100","3","5","1","small_world","75","high-trust-low-accuracy-s3","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.147145752465713,6.528009832091096,4.866352176356065,0.4541923604338967,0.022465551970059443,2.422265827852608,0.015870681682375053
