step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="low-trust-high-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="1",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.6872375051039645,1.8566521007868886,4.447902472116993,0.5349668537384005,0.47177775432363406,1.3421256127108625,0.34133315333424075
1,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.718998191362776,1.8839732787410377,4.421576924620803,0.5340305660024047,0.47759215893891094,1.3692143534455001,0.34648647649843595
2,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.718998191362776,1.9036759247174684,4.38820324601845,0.5325594998718642,0.47759215893891094,1.372812359906965,0.34549497899223264
3,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.9036759247174684,4.376719901793655,0.5313396142924574,0.4741160475535057,1.372812359906965,0.3444988858129966
4,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.92358186193917,4.34012283965907,0.5308129681548123,0.4741160475535057,1.3760637147853456,0.3435890797189776
5,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.92358186193917,4.305159000745622,0.5290801098584758,0.4741160475535057,1.3760637147853456,0.33783818281282435
6,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.92358186193917,4.291656631944022,0.5283060526105332,0.4741160475535057,1.3760637147853456,0.3371232663142027
7,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.92358186193917,4.291656631944022,0.5278429393704651,0.4741160475535057,1.3760637147853456,0.3371232663142027
8,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.92358186193917,4.291656631944022,0.5274012483084074,0.4741160475535057,1.3760637147853456,0.3371232663142027
9,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.92358186193917,4.291656631944022,0.5269786114871029,0.4741160475535057,1.3760637147853456,0.3371232663142027
10,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.92358186193917,4.291656631944022,0.5265728395904113,0.4741160475535057,1.3760637147853456,0.3371232663142027
11,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.92358186193917,4.291656631944022,0.5261819474914295,0.4741160475535057,1.3760637147853456,0.3371232663142027
12,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.9715882704603134,4.291656631944022,0.5264848577926449,0.4741160475535057,1.4027688727062684,0.3371232663142027
13,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.730459994356809,1.9715882704603134,4.291656631944022,0.5261240084218527,0.4741160475535057,1.4027688727062684,0.3371232663142027
14,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5258812729728514,0.47624769661561794,1.4027688727062684,0.3371232663142027
15,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5255390931670578,0.47624769661561794,1.4027688727062684,0.3371232663142027
16,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5252040292445372,0.47624769661561794,1.4027688727062684,0.3371232663142027
17,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5248754101170432,0.47624769661561794,1.4027688727062684,0.3371232663142027
18,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5245526753601429,0.47624769661561794,1.4027688727062684,0.3371232663142027
19,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5242353624081136,0.47624769661561794,1.4027688727062684,0.3371232663142027
20,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5239230941019684,0.47624769661561794,1.4027688727062684,0.3371232663142027
21,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5236155669337615,0.47624769661561794,1.4027688727062684,0.3371232663142027
22,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5233125401908274,0.47624769661561794,1.4027688727062684,0.3371232663142027
23,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5230138261036972,0.47624769661561794,1.4027688727062684,0.3371232663142027
24,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5227192810313094,0.47624769661561794,1.4027688727062684,0.3371232663142027
25,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5224287976692151,0.47624769661561794,1.4027688727062684,0.3371232663142027
26,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5221422982350191,0.47624769661561794,1.4027688727062684,0.3371232663142027
27,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5218597285658817,0.47624769661561794,1.4027688727062684,0.3371232663142027
28,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5215810530521696,0.47624769661561794,1.4027688727062684,0.3371232663142027
29,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5213062503267893,0.47624769661561794,1.4027688727062684,0.3371232663142027
30,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5210353096294503,0.47624769661561794,1.4027688727062684,0.3371232663142027
31,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5207682277676741,0.47624769661561794,1.4027688727062684,0.3371232663142027
32,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5205050066007911,0.47624769661561794,1.4027688727062684,0.3371232663142027
33,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.520245650978638,0.47624769661561794,1.4027688727062684,0.3371232663142027
34,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9715882704603134,4.291656631944022,0.5199901670726939,0.47624769661561794,1.4027688727062684,0.3371232663142027
35,run_1746380298,2025-05-04 13:38:18,low-trust-high-accuracy-s1,"100","3","5","1","small_world","75","low-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.746554590385122,1.9963826873265103,4.291656631944022,0.5201018151467861,0.47624769661561794,1.4154504911718078,0.3371232663142027
