step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="low-trust-med-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="1",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.639906730596867,1.0391402659404994,4.513834413094468,0.5062299166573936,0.4642928679423893,0.0038440932586454716,0.4148084609553798
1,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.678093460951338,1.0434891864225417,4.434106812796933,0.5030668420370138,0.4634758978514973,0.004124225320047919,0.43938715720599
2,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.688852557512414,1.044985624549343,4.371962466038573,0.5010442388056815,0.46034460952612277,0.004215760946382512,0.44346501298628765
3,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.701893794395731,1.0471960971686034,4.3473829986471415,0.4991781258117885,0.4592149428509581,0.00425730714277622,0.4422341052078208
4,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.701893794395731,1.048816188674418,4.3473829986471415,0.4985972285276705,0.4592149428509581,0.004364228102749349,0.4422341052078208
5,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.701893794395731,1.0501629665081098,4.3189768689917045,0.4977525785779919,0.4592149428509581,0.004412306223884329,0.4448074047305709
6,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.71468354025849,1.0501629665081098,4.28000026239508,0.4964839284153466,0.4574550386691839,0.004412306223884329,0.44099676279942285
7,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.71468354025849,1.0512417606568478,4.235327224217756,0.4954744364625976,0.4574550386691839,0.004419291079099561,0.4415189106764889
8,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.167374434496519,0.49409280994173643,0.45387621603963685,0.004419291079099561,0.42696223474596545
9,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.167374434496519,0.49394902419767744,0.45387621603963685,0.004419291079099561,0.42696223474596545
10,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.167374434496519,0.4938473970056275,0.45387621603963685,0.004419291079099561,0.42696223474596545
11,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.156274729590875,0.4933949408995996,0.45387621603963685,0.004419291079099561,0.4206755800482441
12,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.156274729590875,0.4933470719559093,0.45387621603963685,0.004419291079099561,0.4206755800482441
13,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.4932083258224653,0.45387621603963685,0.004419291079099561,0.4190196667085784
14,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.4931875976052844,0.45387621603963685,0.004419291079099561,0.4190196667085784
15,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.4931833792186513,0.45387621603963685,0.004419291079099561,0.4190196667085784
16,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49319271474560084,0.45387621603963685,0.004419291079099561,0.4190196667085784
17,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.493213178310171,0.45387621603963685,0.004419291079099561,0.4190196667085784
18,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49324277883791445,0.45387621603963685,0.004419291079099561,0.4190196667085784
19,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49327988182529475,0.45387621603963685,0.004419291079099561,0.4190196667085784
20,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49332314508601166,0.45387621603963685,0.004419291079099561,0.4190196667085784
21,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.4933714659851536,0.45387621603963685,0.004419291079099561,0.4190196667085784
22,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.4934239381168458,0.45387621603963685,0.004419291079099561,0.4190196667085784
23,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49347981574568583,0.45387621603963685,0.004419291079099561,0.4190196667085784
24,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49353848463133454,0.45387621603963685,0.004419291079099561,0.4190196667085784
25,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.4935994381010793,0.45387621603963685,0.004419291079099561,0.4190196667085784
26,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49366225743673325,0.45387621603963685,0.004419291079099561,0.4190196667085784
27,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49372659580779105,0.45387621603963685,0.004419291079099561,0.4190196667085784
28,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49379216511885965,0.45387621603963685,0.004419291079099561,0.4190196667085784
29,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49385872525126506,0.45387621603963685,0.004419291079099561,0.4190196667085784
30,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.493926075270785,0.45387621603963685,0.004419291079099561,0.4190196667085784
31,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.4939940462492048,0.45387621603963685,0.004419291079099561,0.4190196667085784
32,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.4940624954097395,0.45387621603963685,0.004419291079099561,0.4190196667085784
33,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.4941313013577143,0.45387621603963685,0.004419291079099561,0.4190196667085784
34,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.49420036020017405,0.45387621603963685,0.004419291079099561,0.4190196667085784
35,run_1746380237,2025-05-04 13:37:17,low-trust-med-accuracy-s2,"100","3","5","1","small_world","75","low-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.72589813946061,1.0512417606568478,4.140275205568895,0.4942695823929358,0.45387621603963685,0.004419291079099561,0.4190196667085784
