step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-low-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
0,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.026463535414974,3.987226016688361,4.8994551766600765,0.48145868930475133,0.0009590404732006009,2.2263507091358603,0.013241383486772949
1,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.027536723902376,3.9319543044264718,4.887196329850853,0.4787203770659321,0.0009586991823850248,2.2640974023461053,0.01365463379391442
2,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.028258121283283,3.9319543044264718,4.8724599137994415,0.4756559172255369,0.0009704903453178612,2.2640974023461053,0.013779707076103405
3,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.028886202008966,3.9319543044264718,4.863875579677088,0.47340142162194077,0.0009740476370733243,2.2640974023461053,0.013429899793205158
4,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.029390815024269,3.8516620499522363,4.85902504529941,0.4705368978642156,0.0009701037253066332,2.301075000522711,0.013262576915368609
5,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.029390815024269,3.8516620499522363,4.856438517430288,0.4703730708829578,0.0009701037253066332,2.301075000522711,0.013195628132362813
6,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.03000024926672,3.8516620499522363,4.856438517430288,0.4703529479964559,0.0009710497866192614,2.301075000522711,0.013195628132362813
7,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.03000024926672,3.8516620499522363,4.856438517430288,0.47010454858134987,0.0009710497866192614,2.301075000522711,0.013195628132362813
8,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.03000024926672,3.78814609492302,4.856438517430288,0.46852902700246546,0.0009710497866192614,2.3528802322991758,0.013195628132362813
9,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.03000024926672,3.78814609492302,4.856438517430288,0.4683777811187912,0.0009710497866192614,2.3528802322991758,0.013195628132362813
10,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.03000024926672,3.7532135243314313,4.856438517430288,0.46769607232299293,0.0009710497866192614,2.3890220524530816,0.013195628132362813
11,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.03000024926672,3.7532135243314313,4.856438517430288,0.46755023369312765,0.0009710497866192614,2.3890220524530816,0.013195628132362813
12,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.03000024926672,3.7532135243314313,4.856438517430288,0.46739535004411287,0.0009710497866192614,2.3890220524530816,0.013195628132362813
13,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.03073688405453,3.7532135243314313,4.856438517430288,0.46727045215819546,0.0009805717823640821,2.3890220524530816,0.013195628132362813
14,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.03073688405453,3.7532135243314313,4.856438517430288,0.46709999970867344,0.0009805717823640821,2.3890220524530816,0.013195628132362813
15,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.031369975342209,3.7532135243314313,4.856438517430288,0.46707794325956004,0.0009813329286284605,2.3890220524530816,0.013195628132362813
16,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.031369975342209,3.659395014394998,4.856438517430288,0.4647834797403146,0.0009813329286284605,2.447457271089582,0.013195628132362813
17,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.031369975342209,3.659395014394998,4.856438517430288,0.4644948967949085,0.0009813329286284605,2.447457271089582,0.013195628132362813
18,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.659395014394998,4.856438517430288,0.4643486507277158,0.000985985942424614,2.447457271089582,0.013195628132362813
19,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.659395014394998,4.856438517430288,0.46407197508725084,0.000985985942424614,2.447457271089582,0.013195628132362813
20,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.659395014394998,4.856438517430288,0.4638034468364728,0.000985985942424614,2.447457271089582,0.013195628132362813
21,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.659395014394998,4.856438517430288,0.46354249922875645,0.000985985942424614,2.447457271089582,0.013195628132362813
22,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.659395014394998,4.856438517430288,0.46328866519600337,0.000985985942424614,2.447457271089582,0.013195628132362813
23,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.659395014394998,4.856438517430288,0.46304155582560536,0.000985985942424614,2.447457271089582,0.013195628132362813
24,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.46206108890707703,0.000985985942424614,2.471003660445996,0.013195628132362813
25,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.46185680659427425,0.000985985942424614,2.471003660445996,0.013195628132362813
26,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.4616526782629067,0.000985985942424614,2.471003660445996,0.013195628132362813
27,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.46144954051336734,0.000985985942424614,2.471003660445996,0.013195628132362813
28,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.46124805525791573,0.000985985942424614,2.471003660445996,0.013195628132362813
29,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.46104874315566624,0.000985985942424614,2.471003660445996,0.013195628132362813
30,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.4608520105559037,0.000985985942424614,2.471003660445996,0.013195628132362813
31,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.46065817123728814,0.000985985942424614,2.471003660445996,0.013195628132362813
32,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.46046746397090144,0.000985985942424614,2.471003660445996,0.013195628132362813
33,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.46028006672842225,0.000985985942424614,2.471003660445996,0.013195628132362813
34,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.46009610819211394,0.000985985942424614,2.471003660445996,0.013195628132362813
35,run_1746380541,2025-05-04 13:42:21,med-trust-low-accuracy-s2,"100","3","5","1","small_world","75","med-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.032070778339836,3.625330061458368,4.856438517430288,0.4599156770921443,0.000985985942424614,2.471003660445996,0.013195628132362813
